region,okato_or_blank,first_centre_open_date,date_precision,city,predecessor_COU_date,renamed_or_new,source_url,source_name,source_type,quote,confidence,notes,check_25_09_2026
Забайкальский край,76,,,Чита,,new,https://www.mfc-chita.ru/portal/news/chita/centr-dlya-predprinimatelej-%C2%ABmoj-biznes%C2%BB-otkrylsya-v-chite,МФЦ Забайкальского края,official,Центр для предпринимателей «Мой бизнес» открылся в Чите (заголовок),low,"Дата публикации не извлечена (сайт МФЦ не отдал страницу). По контексту вероятно конец 2019 — 2020. Бабушкина, 52.",not_checked (precision month/year or no date)
Камчатский край,30,2019-09-10,day,Петропавловск-Камчатский,,new,https://kamchatkamedia.ru/news/1840537/,KamchatkaMedia,regional_media,"10 сентября Центр ""Мой бизнес"" отмечает юбилей с момента открытия в Петропавловске-Камчатском",medium,Год 2019 из: «около 26 тысяч услуг ... за 5 лет» (публикация 10.09.2024); kamgov.ru «Центру «Мой бизнес» Камчатского края – 2 года».,date_found_on_source_page
Краснодарский край,03,2019,year,Краснодар,2018-10-10,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. ЦОУ «Мой бизнес» на базе банков: второй в крае открыт 10.10.2018 в банке «Кубань Кредит» (krasnodar.bezformata.com/listnews/tcentra-okazaniya-uslug-moj/70184169). Точная дата регионального центра не найдена.",not_checked (precision month/year or no date)
Красноярский край,04,2019-12-16,day,Красноярск,,new,https://www.press-line.ru/news/2019/12/v-krasnoyarske-otkrylsya-centr-moj-biznes,ИА «Пресс-Лайн»,regional_media,"В Красноярске открылся центр «Мой бизнес» (заголовок, 16.12.2019)",medium,"Дата = дата публикации; ул. А. Матросова, 2.",date_found_on_source_page
Пермский край,57,2019,year,Пермь,,new,https://delint.ru/biznes/11175-permskiy-centr-moy-biznes-nachal-priem-posetiteley.html,Деловой INтерес,regional_media,В столице Прикамья открылся первый в крае Центр оказания услуг «Мой бизнес». Пока он действует в тестовом режиме.,low,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Дата публикации статьи не извлечена; Окулова, 75/1; ЦОУ создан Корпорацией развития МСП ПК.",not_checked (precision month/year or no date)
Приморский край,05,2018-11-22,day,Владивосток,,new,https://mb.primorsky.ru/mybusiness-center,Портал МСП Приморского края,official,Центр «Мой бизнес» ... сформирован 22 ноября 2018 года в рамках реализации национального проекта (по сниппету),medium,"МЭР: в списке субъектов, где центры открыты до 01.01.2019.",date_NOT_found_on_page (snippet/headline-based)
Ставропольский край,07,2019-12-28,day,Ставрополь,,new,https://news.1777.ru/65837-edinyy-centr-po-podderzhke-predprinimateley-moy-biznes-otkrylsya-v-stavropole,1777.ru,regional_media,"Единый центр по поддержке предпринимателей «Мой бизнес» открылся в Ставрополе (заголовок, 28.12.2019)",medium,"Дата = дата публикации; Голенева, 73А.",date_found_on_source_page
Хабаровский край,08,2018,year,Хабаровск,2017,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата не найдена (ЦОУ «Мой бизнес», Запарина 51). Возможный ЦОУ 2017: tass.ru/msp/4348724 «В Хабаровске открылся центр поддержки...» (не верифицировано).",not_checked (precision month/year or no date)
Амурская область,10,2019-09-26,day,Благовещенск,,new,https://portamur.ru/news/detail/v-blagoveschenske-otkroetsya-tsentr-okazaniya-uslug-moy-biznes/,Порт Амур,regional_media,"Первый из них официально заработает в Благовещенске уже 26 сентября на Зейской, 287.",medium,"Анонс 05.09.2019. МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019.",date_found_on_source_page
Архангельская область,11,2019-05-31,day,Архангельск,,new,https://economy.gov.ru/material/news/v_arhangelske_otkrylsya_centr_podderzhki_predprinimatelstva_moy_biznes.html,Минэкономразвития России,official,31 мая в Архангельске директор департамента ... Милена Арсланова приняла участие в открытии центра поддержки предпринимательства «Мой бизнес»,high,"Текст по сниппету (сайт МЭР гео-заблокирован). Наб. Северной Двины, 71. МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019.",date_NOT_found_on_page (snippet/headline-based)
Астраханская область,12,2018,year,Астрахань,,,https://mb30.ru/my-business/about/structural-units/cpp,Центр «Мой бизнес» Астрахань,official,Центр поддержки предпринимательства Астраханской области (далее – ЦПП) создан в 2018 году на базе автономного учреждения Астраханской области «Астраханский областной инновационный центр»,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата открытия центра «Мой бизнес» не найдена.",not_checked (precision month/year or no date)
Белгородская область,14,2019-10-28,day,Белгород,,new,https://bel.ru/news/society/28-10-2019/v-belgorode-zarabotal-tsentr-dlya-okazaniya-podderzhki-predprinimatelyam-moy-biznes,Bel.ru,regional_media,"В Белгороде заработал центр для оказания поддержки предпринимателям «Мой бизнес» (заголовок, 28.10.2019)",medium,"Королёва, 2а. Сниппет другого источника упоминает начало работы с 01.09.2019 — не верифицировано.",date_found_on_source_page
Брянская область,15,,,Брянск,,renamed,https://xn--32-9kcqjffxnf3b.xn--p1ai/,Брянский областной ЦОУ «Мой бизнес»,official,,low,"Дата не найдена. Оператор — ГАУ «Брянский областной ЦОУ «Мой бизнес»» (переименованный бизнес-инкубатор, юрлицо с 2008), Бежицкая 54.",not_checked (precision month/year or no date)
Владимирская область,17,2019-12-13,day,Владимир,,new,https://vedom.ru/news/2019/12/13/38357-vo-vladimire-otkrylsya-centr-podderzhki,Владимирские ведомости,regional_media,"И символично, что наш региональный центр «Мой бизнес» открывается в здании областной администрации, - отметил губернатор Владимир Сипягин.",high,Также ТАСС tass.ru/msp/7345175; РГ 24.12.2019.,date_found_on_source_page
Волгоградская область,18,2018,year,Волгоград,,renamed,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата не найдена. ГАУ ВО «Мой бизнес» (пр. Жукова, 3) — переименованное учреждение (юрлицо с 2009).",not_checked (precision month/year or no date)
Вологодская область,19,2019-06-03,day,Вологда,,new,https://msbvologda.ru/news/v-vologde-otkrylsya-oblastnoy-tsentr-moy-biznes/,МБУ «Центр развития предпринимательства» г. Вологды,official,Центр для предпринимателей «Мой бизнес» начал работу в областной столице.,medium,"Дата 03.06.2019 по поисковым сниппетам (на странице дата не выведена); также volraion.ru/news/ekonomika/18780/. МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019.",date_NOT_found_on_page (snippet/headline-based)
Воронежская область,20,2019-12-25,day,Воронеж,,new,https://riavrn.ru/news/v-voronezhe-otkrylsya-tsentr-podderzhki-predprinimatelstva-moy-biznes/,РИА «Воронеж»,regional_media,"Центр «Мой бизнес» открылся в Воронеже на улице Свободы, 21, в рамках нацпроекта ... в среду, 25 декабря.",high,Противоречие: МЭР относит Воронежскую обл. к открытым до 01.01.2019.,date_found_on_source_page
Ивановская область,24,2019-03-01,day,Иваново,,new,https://ivanovoobl.ru/?type=news&id=19816,Правительство Ивановской области,official,Центр поддержки предпринимательства «Мой бизнес» начинает работу 1 марта (заголовок),high,"Шереметевский пр., 85Г; также ivgazeta.ru/read/30239. МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019.",date_found_on_source_page
Иркутская область,25,2019-12-25,day,Иркутск,,new,https://irkobl.ru/news/856687/,Правительство Иркутской области,official,Центр по поддержке предпринимателей «Мой бизнес» открылся сегодня в Иркутской области (заголовок),high,"Рабочая, 2А/4; irk.ru 23.12.2019 анонс «откроется 25 декабря»; glagol38.ru 25.12.2019.",date_NOT_found_on_page (snippet/headline-based)
Калининградская область,27,2018,year,Калининград,,renamed,https://www.klgd.ru/press/news/detail.php?ID=7083791,Администрация г. Калининграда,official,В самом западном регионе структуры поддержки бизнеса работали с 2013 года. В начале 2018 года центр возглавил Кирилл Лило.,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Ребрендинг ЦПП (с 2013) в «Мой бизнес»; объединение институтов по принципу одного окна решено в конце 2017; точная дата ребрендинга не найдена.",not_checked (precision month/year or no date)
Калужская область,29,2019-12-13,day,Калуга,,new,https://1mostostroy.ru/otkrytie-czentra-moj-biznes-v-kaluge/,МостоСтройИнжиниринг (сайт компании-участника),regional_media,Руководство компании «МостоСтройИнжиниринг» посетило церемонию открытия центра «Мой бизнес» в Калуге 13 декабря 2019 г.,low,"Источник не СМИ (сайт компании), но дата подтверждена поисковым сниппетом. Театральная, 38а (ГАУ «Агентство развития бизнеса»). МЭР относит Калужскую обл. к 01.01–01.06.2019.",date_found_on_source_page
Кемеровская область — Кузбасс,32,2019,year,Кемерово,,new,https://gazeta.a42.ru/lenta/biz/70502-moi-bizneskuzbass-vozmozhnosti-dlya-predprinimatelei-v-2020,A42.ru,regional_media,,low,По сниппетам центр «Мой бизнес.Кузбасс» организован весной 2019 в Кузбасском технопарке; ГАУ КО «Мой бизнес» зарегистрировано 21.04.2020. Точная дата не найдена.,not_checked (precision month/year or no date)
Кировская область,33,2019-11,month,Киров,,new,https://tass.ru/msp/7209657,ТАСС,federal_media,В Кирове открылся центр поддержки ... (заголовок),medium,"Конец ноября 2019 по сниппетам; bnkirov.ru/articles/42510 (24.11.2019). Динамовский пр., 4.",not_checked (precision month/year or no date)
Костромская область,34,2019-12-10,day,Кострома,,new,https://smi44.ru/news/economy/eshche-odin-ofis-mfts-dlya-predprinimateley-otkryt-v-kostrome-/,SMI44,regional_media,"Вторник, 10 декабря 2019 в Бизнес-центре на ул.Локомотивной, 2 В Костроме сегодня состоялось открытие центра «Мой бизнес».",high,Офис на базе МФЦ; также regnum.ru/news/2805077.html.,date_found_on_source_page
Курганская область,37,2018,year,Курган,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата не найдена.",not_checked (precision month/year or no date)
Курская область,38,2020-09-03,day,Курск,,new,https://kurskcity.ru/news/citynews/158404,KURSKCiTY.RU,regional_media,Торжественную церемонию открытия посетил в числе почётных гостей и глава региона Роман Старовойт,high,"ГТРК «Курск» 03.09.2020 «В Курске открылся центр для предпринимателей «Мой бизнес»»; Горького, 34.",date_found_on_source_page
Ленинградская область,41,2019-11-21,day,Санкт-Петербург (для ЛО),,new,https://fond1992.ru/news/21-noyabrya-2019-goda-otkrylsya-tsentr-moy-biznes-leningradskoy-oblasti-1,Фонд поддержки предпринимательства ЛО,official,21 ноября 2019 года открылся центр «Мой бизнес» Ленинградской области,high,,date_found_on_source_page
Липецкая область,42,2020-02-11,day,Липецк,,new,https://tass.ru/nacionalnye-proekty/7736721,ТАСС,federal_media,"В Липецке открылся первый областной центр услуг ""Мой бизнес"" (заголовок)",high,"lipetsktime.ru 11.02.2020; Кузнечная, 8.",date_NOT_found_on_page (snippet/headline-based)
Магаданская область,44,2020-10-02,day,Магадан,,new,https://magadanmedia.ru/news/1003918/,MagadanMedia,regional_media,"Центр ""Мой бизнес"" открыли в Магадане в рамках национального проекта",high,Известия 02.10.2020 «Центр «Мой бизнес» создали в Магадане».,date_found_on_source_page
Московская область,46,2019,year,муниципальные офисы (10 пилотных),,new,https://radio1.news/article/v-10-munitsipalitetah-podmoskovya-sozdayut-set-tsentrov-moj-biznes-27415,Радио 1 (Подмосковье),regional_media,В 10 муниципалитетах Подмосковья создают сеть центров «Мой бизнес» (заголовок),medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Первые 10 пилотных офисов — к июню 2019.",not_checked (precision month/year or no date)
Мурманская область,47,2019-09-04,day,Мурманск,,new,https://www.tv21.ru/news/2019/09/04/v-murmanske-otkrylsya-centr-podderzhki-predprinimateley-moy-biznes,ТВ-21,regional_media,"В Мурманске открылся центр поддержки предпринимателей «Мой бизнес» (заголовок, 04.09.2019)",high,"МК Мурманск 04.09.2019; Подстаницкого, 1.",date_found_on_source_page
Нижегородская область,22,2019-11-06,day,Нижний Новгород,,new,https://www.vremyan.ru/news/czentr__moj_biznes__otkrylsya_v_nizhnem_novgorode_6_noyabrya.html,Время Н,regional_media,Центр «Мой бизнес» открылся в технопарке «Анкудиновка» 6 ноября,high,,date_found_on_source_page
Новгородская область,49,2019-11-18,day,Великий Новгород,,new,https://53news.ru/novosti/52637-v-velikom-novgorode-otkrylsya-tsentr-moj-biznes.html,53 Новости,regional_media,"В Великом Новгороде открылся центр «Мой бизнес» (заголовок, 18.11.2019)",high,Также adm.nov.ru/page/36672 (офиц.).,date_found_on_source_page
Новосибирская область,50,2020-09-09,day,Новосибирск,,new,https://mbnso.ru/news/sostoyalos-ofitsialnoe-otkrytie-tsentra-moy-biznes/,Центр «Мой бизнес» НСО,official,9 сентября ... состоялось официальное открытие центра «Мой бизнес» Новосибирской области.,high,Фактически начал работу раньше: novo-sibirsk.ru/news/255531 (07.08.2020 «начнет работу»).,date_found_on_source_page
Омская область,52,2019-11,month,Омск,,new,https://xn---55-9cdulgg0aog6b.xn--p1ai/company/,Центр поддержки предпринимательства Омской области,official,"В ноябре 2019 года в Омске на проспекте Комарова, 21 корпус 1 открылся центр оказания услуг «Мой бизнес».",high,Противоречие: МЭР относит Омскую обл. к 01.01–01.06.2019.,not_checked (precision month/year or no date)
Оренбургская область,53,2019-11-22,day,Оренбург,,new,https://rg.ru/2019/11/22/reg-pfo/v-orenburge-otkrylsia-pervyj-centr-dlia-predprinimatelej-moj-biznes.html,Российская газета,federal_media,"В Оренбурге в рамках Международного форума ""Оренбуржье - сердце Евразии"" состоялось открытие первого центра",high,ММ «Армада».,date_found_on_source_page
Орловская область,54,2019-10-28,day,Орёл,,new,https://regionorel.ru/news/s-momenta-sozdania-centra-moj-biznes-centr-klasternogo-razvitia-okazal-podderzku-bolee-1230-subektam-msp/,Правительство Орловской области,official,В 2019 году на территории Орловской области создан центр оказания услуг «Мой бизнес»,medium,День 28 октября — по поисковому сниппету (губернатор Клычков взял талон №1); год подтверждён официальным источником.,date_NOT_found_on_page (snippet/headline-based)
Пензенская область,56,2019-11-27,day,Пенза,,new,https://rg.ru/2019/11/27/reg-pfo/v-penze-otkrylsia-centr-okazaniia-uslug-dlia-biznesa.html,Российская газета,federal_media,"Центр оказания услуг ""Мой бизнес"" открылся в Пензе на улице Герцена, 14.",high,Дата = дата публикации.,date_found_on_source_page
Псковская область,58,2020-10-19,day,Псков,,new,https://informpskov.ru/news/336834.html,Псковское агентство информации,regional_media,"В открытии центра «Мой бизнес», созданного в рамках нацпроекта ..., принял участие губернатор Псковской области Михаил Ведерников.",high,"Гоголя, 14.",date_found_on_source_page
Ростовская область,60,2019,year,Шахты,,new,https://rostov.aif.ru/society/details/pervyy_centr_dlya_podderzhki_predprinimateley_moy_biznes_otkrylsya_v_rostove,АиФ-Ростов,regional_media,"Во вторник, 29 октября, в Ростове-на-Дону открылся первый центр для поддержки предпринимателей «Мой бизнес».",medium,Первым в регионе был центр в г. Шахты (до 29.10.2019; точная дата не найдена); центр в Ростове-на-Дону — 29.10.2019.,not_checked (precision month/year or no date)
Рязанская область,61,2019,year,Рязань,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Точная дата не найдена.",not_checked (precision month/year or no date)
Самарская область,36,2019-07,month,Тольятти,,new,https://rg.ru/2019/12/06/reg-pfo/v-samarskoj-oblasti-otkrylsia-vtoroj-universalnyj-centr-moj-biznes.html,Российская газета,federal_media,"В Самарской области открылся второй универсальный центр ""Мой Бизнес"" (заголовок, 06.12.2019; второй — в Отрадном)",medium,"Первый центр — Тольятти, июль 2019 (по сниппетам; бульвар Королёва, 13). Региональный центр в Самаре (Молодогвардейская, 211) — позже (economy.samregion.ru).",not_checked (precision month/year or no date)
Саратовская область,63,2018-07,month,Саратов,,renamed,https://www.business-vector.info/tsentr-moj-biznes-saratov-polozhit-nachalo-federal-noj-infrastrukture-podderzhki-predprinimatel-stva/,Бизнес-вектор,regional_media,"В этом году, 9 июля, между Саратовской областью и минэкономразвития РФ было подписано соглашение. Мы создали центр «Мой бизнес» и стали одним из трех пилотных регионов",medium,"Пилотный регион; центр на базе областного бизнес-инкубатора; дата = соглашение 09.07.2018. МЭР: в списке субъектов, где центры открыты до 01.01.2019.",not_checked (precision month/year or no date)
Сахалинская область,64,2019-10,month,Южно-Сахалинск,,new,https://ssros.ru/v-yuzhno-sahalinske-zarabotal-tsentr-besplatnogo-obsluzhivaniya-predprinimatelej-moj-biznes/,Сахалинстрой (отраслевой сайт),regional_media,В Южно-Сахалинске заработал центр бесплатного обслуживания предпринимателей «Мой бизнес» (заголовок),low,Октябрь 2019 по сниппету. Противоречие: МЭР относит Сахалинскую обл. к 01.01–01.06.2019.,not_checked (precision month/year or no date)
Свердловская область,65,2018-11,month,Екатеринбург,,,https://sofp.ru/moj-biznes,СОФПП,official,Центры «Мой бизнес» на территории Свердловской области действуют с 2019 года.,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Сниппет поиска указывал ноябрь 2018 (Восточная, 7д), официальный сайт СОФПП — «с 2019 года»; противоречие не разрешено.",not_checked (precision month/year or no date)
